sound,pronunciation,native,language,meaning
GOOD,Vaikka,vaikka,finnish,for example
GOOD,lu^okka,luokka,finnish,group/collection
GOOD,tA_^llA,täällä,finnish,here
GOOD,ri_ttAmAte#n,riittämätön,finnish,insufficient
GOOD,palkka,palkka,finnish,pay/salary
GOOD,ammatti,ammatti,finnish,profession
GOOD,harrasta_,harrastaa,finnish,to be interested in
GOOD,purra,purra,finnish,to bite
GOOD,mu_ttua,muuttua,finnish,to change
GOOD,Va^lita,valita,finnish,to choose
GOOD,su_^nnitella,suunnitella,finnish,to design
GOOD,sinnitellA,sinnitellä,finnish,to hang on
GOOD,pe^rustella,perustella,finnish,to justify
GOOD,yAttA_,jättää,finnish,to leave
GOOD,Va^llita,vallita,finnish,to prevail
GOOD,VetA_,vetää,finnish,to pull/drag
GOOD,sa_^Vutta_,saavuttaa,finnish,to reach
GOOD,mi#_dA,myydä,finnish,to sell
GOOD,VAlittA_,välittää,finnish,to transmit
GOOD,i#^rittA_,yrittää,finnish,to try
GOOD,i#^mmArtA_,ymmärtää,finnish,to understand
GOOD,kA^i#ttA_,käyttää,finnish,to use
GOOD,i#hdessA,yhdessä,finnish,together
GOOD,a&fibi,amphibie,french,amphibious
GOOD,a&pati,empathie,french,empathy
GOOD,po#&,pont,french,bridge
GOOD,paGfa#&,parfum,french,perfume
GOOD,vE&,vin,french,wine
GOOD,sapE&,sapin,french,fir tree
GOOD,dE&,daim,french,deer
GOOD,pE&ti#G,peinture,french,painting
GOOD,jaGdE&,jardin,french,garden
GOOD,E&po#sibl,impossible,french,impossible
GOOD,dUmE&,demain,french,tomorrow
GOOD,sE&^fo#ni,symphonie,french,symphony
GOOD,sitwa^yE&,citoyen,french,citizen
GOOD,kEstyo#&,question,french,question
GOOD,ko#&ko#&bG,concombre,french,cucumber
GOOD,a&pul,ampoule,french,light bulb
GOOD,a&fa&,enfant,french,infant
GOOD,ja#&gl,jungle,french,jungle
GOOD,bo#&bo#&,bonbon,french,sweet/candy
GOOD,vo#lka&,volcan,french,volcano
GOOD,eGi#psyo#&,éruption,french,eruption
GOOD,papiyo#&,papillon,french,butterfly
GOOD,etE&dG,éteindre,french,to turn off
GOOD,si#Gtu,surtout,french,above all
E&,a&syE&,ancien,french,ancient
E&,pE&,pain,french,bread
a&,ma&to,manteau,french,coat
GOOD,fGwa,froid,french,cold
GOOD,ko#&plEtma&,complètement,french,completely
O,fOl,foule,french,crowd
GOOD,ku^Ga&,courant,french,current (flow)
o#&,o#&bG,ombre,french,darkness
j,juG,jour,french,day
G,Gavi,ravi,french,delighted
E&,xjE&,chien,french,dog
GOOD,eGa#G,erreur,french,error
GOOD,EkspeGya&s,expérience,french,experience
GOOD,ga#l,gueule,french,face (of animal)
GOOD,pa#G,peur,french,fear
G,faGin,farine,french,flour
GOOD,libG,libre,french,free
GOOD,fo#&,fond,french,fund
o#&,bo#&,bon,french,good
GOOD,a#Ge#,heureux,french,happy
GOOD,ka#G,cœur,french,heart
GOOD,o#na#G,honneur,french,honor
E&,fE&,fiam,french,hunger
GOOD,E&teGya#G,intérieur,french,interior
GOOD,ma&k,manque,french,lack
GOOD,sEny~a#G,seigneur,french,lord
GOOD,mUsje#,monsieur,french,mister
GOOD,na#f,neuf,french,nine
GOOD,su&^va&,souvent,french,often
GOOD,o#GdG,ordre,french,order (arrangement)
a&,pa&,paon,french,peacock
GOOD,pGi,prix,french,prize
GOOD,GUsi#,reçu,french,receipt
G,Guj,rouge,french,red
GOOD,dGwa,droit,french,right (what's right)
a&,sa&dal,sandales,french,sandal footwear^
a&,a&plUG,ampleur,french,scale
GOOD,sUkGE,secret,french,secret
o#&,o#&t,honte,french,shame
GOOD,sa#G,sœur,french,sister
G,kGeno,créneau,french,slot
o#&,so#&,son,french,sound
G,sykG,sucre,french,sugar
GOOD,si#G,sûr,french,sure/certain
GOOD,tGi#k,truc,french,technique
GOOD,la#G,leur,french,them
GOOD,do#&k,donc,french,therefore
a&,ta&,temps,french,time
GOOD,EtG,être,french,to be
GOOD,mo#&te,monter,french,to climb
GOOD,fEG,faire,french,to do
GOOD,deja#ne,déjeuner,french,to have lunch
GOOD,Ga&ko#&tGe,rencontrer,french,to meet
GOOD,GUvUniG,revenir,french,to return
GOOD,a&vwaye,envoyer,french,to send
GOOD,mo#&tGe,montrer,french,to show
GOOD,Gei#siG,réussir,french,to succeed at something
GOOD,pa&se,penser,french,to think
o#&,tGo#&,tronc,french,trunk
GOOD,de#,dø,french,two
GOOD,o#&kl,oncle,french,uncle
GOOD,mo#&tG,montre,french,watch (timepiece)
GOOD,kwE&,coin,french,wedge
GOOD,byE&vUni#,bienvenue,french,welcome
a&,bla&,blanc,french,white
GOOD,a#vG,œuvre,french,work
a&,a&,an,french,year
GOOD,ja#n,jeune,french,young
aE,haEri,ჰაერი,georgian,air
GOOD,msgavsi,მსგავსი,georgian,alike
GOOD,tso#tsHali,ცოცხალი,georgian,alive/animate
tx!,tx!iantx!vEla,ჭიანჭველა,georgian,ant
h,himni,ჰიმნი,georgian,anthem
g,gargari,გარგარი,georgian,apricot
dj,abdjari,აბჯარი,georgian,armor
G,aGmarth~i,აღმართი,georgian,ascent
GOOD,mEmk!vidrEo#ba,მემკვიდრეობა,georgian,asset/inheritance
G,Gamura,ღამურა,georgian,bat
GOOD,brdzo#la,ბრძოლა,georgian,battle
GOOD,sart!K!Eli,სარტყელი,georgian,belt
dz,dziri,ძირი,georgian,bottom
t!,t!o#t!i,ტოტი,georgian,branch
p!,p!Ep!Ela,პეპელა,georgian,butterfly
k!,ak!aju,აკაჟუ,georgian,cashew
k!,k!at!a,კატა,georgian,cat
dz,dzro#Ha,ძროხა,georgian,caw
tx!,tx!Eri,ჭერი,georgian,ceiling
tx!,tx!aGi,ჭაღი,georgian,chandelier
ts!,ts!its!ila,წიწილა,georgian,chicken
GOOD,xvili,შვილი,georgian,child
GOOD,ph~rtxHili,ფრჩხილი,georgian,claw
G,GrubEli,ღრუბელი,georgian,cloud
GOOD,mdzimE,მძიმე,georgian,comma
GOOD,xangrdzlivo#ba,ხანგრძლივობა,georgian,continuance
K!,kh~vEK!ana,ქვეყანა,georgian,country
GOOD,dGE,დღე,georgian,day
G,Grma,ღრმა,georgian,deep
GOOD,tsno#bili,ცნობილი,georgian,distinguished
K!,K!uri,ყური,georgian,ear
p!,Ep!o#kh~a,ეპოქა,georgian,epoch
dj,Hardji,ხარჯი,georgian,expense
k!,arak!i,არაკი,georgian,fable
ts,tsru,ცრუ,georgian,false
k!,ank!Esi,ანკესი,georgian,fishing rod
GOOD,brt!k!Eli,ბრტყელი,georgian,flat
j,jiraph~i,ჟირაფი,georgian,giraffe
g,go#go#,გოგო,georgian,girl
dj,djiHvi,ჯიხვი,georgian,goat
kh~,o#kh~ro#,ოქრო,georgian,gold
g,go#ra,გორა,georgian,hill
h,hip!o#p!o#t!ami,ჰიპოპოტამი,georgian,hippo
h,hibridi,ჰიბრიდი,georgian,hybrid
GOOD,mnixvnElo#vani,მნიშვნელოვანი,georgian,important
j,jak!Et!i,ჟაკეტი,georgian,jacket
K!,K!ba,ყბა,georgian,jaw
o#,pho#th~o#li,ფოთოლი,georgian,leaf
GOOD,martsHEna,მარცხენა,georgian,left
GOOD,sigrdzE,სიგრძე,georgian,length
GOOD,bmuli,ბმული,georgian,link (internet)
dz,andza,ანძა,georgian,mast
ts!,ts!uth~i,წუთი,georgian,minute
GOOD,sHvadasHva,სხვადასხვა,georgian,miscellanea
t!,t!it!vEli,ტიტველი,georgian,naked
GOOD,txrdilo#Eth~i,ჩრდილოეთი,georgian,north
k!,o#k!eane,ოკეანე,georgian,ocean
GOOD,Hxirad,ხშირად,georgian,often
H,HaHvi,ხახვი,georgian,onion
j,jangbadi,ჟანგბადი,georgian,oxygen
t!,at!ami,ატამი,georgian,peach
GOOD,djguph~uri,ჯგუფური,georgian,pertaining to team
p!,p!ik!nik!i,პიკნიკი,georgian,picnic
p!,p!lanEt!a,პლანეტა,georgian,planet
GOOD,gth~Ho#vth~,გთხოვთ,georgian,please (formal)
p!,p!o#lusi,პოლუსი,georgian,pole
GOOD,mo#saHlEo#ba,მოსახლეობა,georgian,population
j,jo#lo#,ჟოლო,georgian,raspberry
GOOD,namdvili,ნამდვილი,georgian,real
g,igivE,იგივე,georgian,same
GOOD,mEtsniErEba,მეცნიერება,georgian,science
GOOD,zGva,ზღვა,georgian,sea
GOOD,sEkh~tsia,სექცია,georgian,section
p!,nap!iri,ნაპირი,georgian,shore
GOOD,mnixvnElo#ba,მნიშვნელობა,georgian,significance
GOOD,mravalmnixvnElo#vani,მრავალმნიშვნელოვანი,georgian,significant
ts,tsa,ცა,georgian,sky
dz,dzili,ძილი,georgian,sleep
GOOD,mtsirE,მცირე,georgian,small/insignificant
ts!,ts!K!aro#,წყარო,georgian,source
o#,o#bo#ba,ობობა,georgian,spider
H,HErHEmali,ხერხემალი,georgian,spine
K!,tsiK!vi,ციყვი,georgian,squirrel
GOOD,saHElmts!iph~o#,სახელმწიფო,georgian,state/kingdom
dj,djo#Hi,ჯოხი,georgian,stick
H,Hmali,ხმალი,georgian,sword
tx!,nitx!i,ნიჭი,georgian,talent
h,halst!uHi,ჰალსტუხი,georgian,tie
K!,iK!o,იყო,georgian,to be
GOOD,xdEba,ხდება,georgian,to happen
GOOD,aGts!Ers,აღწერს,georgian,to list
GOOD,gamo#akh~vEK!nEbs,გამოაქვეყნებს,georgian,to publish
GOOD,mts!vrth~nE^li,მწვრთნელი,georgian,trainer/coach
dz,gandzi,განძი,georgian,treasure
H,HE,ხე,georgian,tree
H,Hma,ხმა,georgian,voice
k!,k!ak!ali,კაკალი,georgian,walnut
ts!,ts!K!ali,წყალი,georgian,water
t!,t!alGa,ტალღა,georgian,wave
o#,mso#ph~lio#,მსოფლიო,georgian,world
ts!,ts!Elits!adi,წელიწადი,georgian,year
GOOD,th~kh~vEn,თქვენ,georgian,you
i#,Gi#^kUn,rücken,german,back (body)
I,kInt,kind,german,child
O,hOnt,hund,german,dog
aI,aI,ei,german,egg
aI,flaIx,fleisch,german,flesh
EE,mE_^txy~Un,mädchen,german,girl
aa,gGa_s,gras,german,grass
X,ho_H,hoch,german,high
i#,xli#sUl,schlüssel,german,key
E,E_^nlIx,ähnlich,german,similar
x,xlaqU,schlange,german,snake
e#,le#fUl,löffel,german,spoon
i#_,i#_bUn,üben,german,to practice
aO,baOm,baum,german,tree
o#,wo#Gt,wort,german,word
d?,d?i+go-_,ɗigṑ,hausa,a drop
GOOD,'a-ddu+'a-_,àddu'ā̀,hausa,a prayer
GOOD,ki+bi+ya-_,kibiyā̀,hausa,arrow
GOOD,ga+gga+_fa+_,gaggāfā,hausa,bateleur eagle
ky~,ky~a+a-u,kyâu,hausa,beauty
GOOD,ba+k!i+_,baƙī,hausa,black/dark
kw,'a-kwa-_ti-,àkwā̀tì,hausa,box
GOOD,ky~a+a-nwa+_,kyânwā,hausa,cat
GOOD,ha-wa+ini-ya+_,hàwainìyā,hausa,chameleon
',da+_'i-ra+_,dā'ìr̃ā,hausa,circle
GOOD,Ra+_b?a+_,rāɓā,hausa,dew
GOOD,da+imo-n,daimòn,hausa,diamond
GOOD,'a-gw~a-_gw~a+_,àgwā̀gwā,hausa,duck (animal)
k!,k!o-_k!a+ri+,ƙṑƙari,hausa,effort
GOOD,k!a-dda+ra-_,ƙàddar̃ā̀,hausa,fate/destiny
GOOD,hu-rri+yya-_,hùr̃r̃iyyā̀,hausa,freedom/liberty
kw,kwa-_d?o+_,kwā̀ɗō,hausa,frog
GOOD,la+zza-_,lazzā̀,hausa,good flavor
GOOD,bu+kka-_,bukkā̀,hausa,grass hut
k!,k!a-ho+_,ƙàhō,hausa,horn
GOOD,kw~a-le+kw~a-le+,kwàlekwàle,hausa,kanoe
GOOD,wa-lk!i+ya+_,wàlƙiyā,hausa,lightning
GOOD,ba-nda+_,bàndā,hausa,meat dried over fire
GOOD,ha+dda-_,haddā̀,hausa,memorization
GOOD,ma+sa+lla+_txi+_,masallācī,hausa,mosque
GOOD,la-ru+_ra-_,làr̃ūr̃ā̀,hausa,necessity
d?,d?aya,ɗaya,hausa,one
GOOD,gw~a+ggo-,gwaggò,hausa,paternal aunt
GOOD,da-k!i+_k!a-_,dàƙīƙā̀,hausa,second (unit of time)
GOOD,hu+d?u+ba-_,huɗubā̀,hausa,sermon
GOOD,k!a-nk!a+ne-_,ƙànƙanḕ,hausa,small
k!,k!a+sa+_,ƙasā,hausa,soil
d?,d?a+_,ɗáː,hausa,son
GOOD,k!a+_'i+da-_,ƙā'idā̀,hausa,standard
GOOD,k!i+ssa-_,ƙissā̀,hausa,story
GOOD,dja+rra-ba+_a-wa+_,jar̃r̃àbâwā,hausa,test/exam
GOOD,bi+xi+ya-_,bishiyā̀,hausa,tree
GOOD,kahaone,kahaone,hawaiian,beach covered with sand
GOOD,hu_lanakuahale,kūlanakauhale,hawaiian,city
GOOD,ka_na_wai,kānāwai,hawaiian,code/law
GOOD,ma_kauka^u,mākaukau,hawaiian,competence
GOOD,pa_pa_'o_lelo,pāpāʻōlelo,hawaiian,conversation
GOOD,pololei,pololei,hawaiian,correct
GOOD,pa'aki_ki_,paʻakīkī,hawaiian,difficult
GOOD,hahu^a,kahua,hawaiian,foundation
GOOD,maika'i,maikaʻi,hawaiian,goodness
GOOD,tu_tu_,tūtū,hawaiian,grandparent
GOOD,ha'awi^na,haʻawina,hawaiian,lesson/assignment
GOOD,kahu^na,kahuna,hawaiian,magician/sorcerer
GOOD,makuahine,makuahine,hawaiian,mother
GOOD,hemolele,hemolele,hawaiian,perfection
GOOD,pa'aka^i,paʻakai,hawaiian,salt
GOOD,wehewehe,wehewehe,hawaiian,to explain
GOOD,ho'opa'a,hoʻopaʻa,hawaiian,to fix
GOOD,wala'au,walaʻau,hawaiian,to talk
GOOD,ni_ki'i,nīkiʻi,hawaiian,to tie/bind
GOOD,ho'ohana,hoʻohana,hawaiian,to use
H,Ha^ya,חַיָּה,hebrew,animal
G,tsipo^G,צִפּוֹר,hebrew,bird
e,ye^led,יֶלֶד,hebrew,child
H,Hata^H,חֲתָךְ,hebrew,cut
G,basa^G,בָּשָׂר,hebrew,flesh
R,pe^GaH,פֶּרַח,hebrew,flower
',ya^'aG,יַעַר,hebrew,forest
G,pGi,פְּרִי,hebrew,fruit
G,se'aGa^,שַׂעֲרָה,hebrew,hair
G,Gox,רֹאשׁ,hebrew,head
H,me^leH,מֶלֶך,hebrew,king
H,a^GoH,אָרֹךְ,hebrew,long
a,a^dam,אָדָם,hebrew,man
H,la^Hats,לַחַץ,hebrew,pressure
H,naHa^x,נָחָשׁ,hebrew,snake
GOOD,'aha^v,אָהַב,hebrew,to love
e,ets,עֵץ,hebrew,tree
bh~,Ubh~Ine_tri_,अभिनेत्री,hindi,actress
tx,bUttxa_,बच्चा,hindi,baby
T,To_kri_,टोकरी,hindi,basket
GOOD,a_xi_rVa_d,आशीर्वाद,hindi,blessing
kh~,xa_kh~a_,शाखा,hindi,branch
th~,th~o_k,थोक,hindi,bulk
bh~,bh~a_r,भार,hindi,burden
txh~,txh~a_ti_,छाती,hindi,chest
N,sUmUrpUN,समर्पण,hindi,dedication
bh~,pUrIbh~a_Xa_,परिभाषा,hindi,definition
D,Do#kTUr,डॉक्टर,hindi,doctor
Dh~,Dh~o_l,ढोल,hindi,drum
th~,hha_th~i_,हाथी,hindi,elephant
bh~,xObh~,शुभ,hindi,favorable
djh~,djh~UNDa_,झंडा,hindi,flag (banner)
ph~,ph~Ul,फल,hindi,fruit
dh~,dh~Un,धन,hindi,funds
N,mUNi_,मणि,hindi,gem
Rh~,pi_Rh~i_,पीढ़ी,hindi,generation
txh~,Uttxh~a_,अच्छा,hindi,good
th~,UtIth~i_,अतिथि,hindi,guest
gh~,gh~UR,घर,hindi,house
kh~,VE_xa_kh~,वैशाख,hindi,indian month
djh~,dja_nbu_djh~kUr,जानबूझकर,hindi,intentionally
Rh~,si_Rh~i_,सीढ़ी,hindi,ladder
djh~,djh~i_l,झील,hindi,lake
bh~,bh~a_Xa_,भाषा,hindi,language
TT,txITTh~i_,चिट्ठी,hindi,letter
R,ph~e_ph~Ra_,फेफड़ा,hindi,lung
tx,mE_tx,मैच,hindi,match
th~,URth~a_t,अर्थात,hindi,meaning
dh~,sa_dh~na_,साधना,hindi,meditation
dh~,du_dh~,दूध,hindi,milk
N,dUrpUN,दर्पण,hindi,mirror
dh~,Udh~Ik,अधिक,hindi,more
kh~,kh~UttxUr,खच्चर,hindi,mule
kh~,Ukh~ba_r,अख़बार,hindi,newspaper
N,UrpUN,अर्पण,hindi,offering
ph~,Uph~sUr,अफसर,hindi,officer
T,mUTUr,मटर,hindi,pea
dj,djUma_na_,जमाना,hindi,period
ph~,ph~Uli_,फली,hindi,pod
dh~,dh~Urm,धर्म,hindi,religion/faith
X,xe_X,शेष,hindi,residue
R,sURUk,सड़क,hindi,road
dj,ra_dj,राज,hindi,rule
dj,djUhha_dj,जहाज,hindi,ship
gh~,a_gh~a_t,आघात,hindi,shock
X,Xa_Nma_sIk,षाण्मासिक,hindi,six monthly
D,DUmru_,डमरू,hindi,small drum
X,bh~a_XUN,भाषण,hindi,speech
djh~,sOdjh~a_V,सुझाव,hindi,suggestion
Th~,Uqgu_Th~a_,अंगूठा,hindi,thumb
T,TikUT,टिकट,hindi,ticket
gh~,ba_gh~,बाघ,hindi,tiger
dj,a_dj,आज,hindi,today
txh~,gUmtxh~a_,गमछा,hindi,towel
kh~,kh~Ilo#_na_,खिलौना,hindi,toy
tx,sUtx,सच,hindi,truth
Dh~,Dh~a_i_,ढाई,hindi,two and a half
txh~,txh~Utri_,छतरी,hindi,umbrella
tx,txa_txa_,चाचा,hindi,uncle
d*,d*o&'o,!o̰ʔo,hoan,claw
p*,p*oa,ʘoa,hoan,eye
p*,p*oa,ʘ̰oa,hoan,fire
p*,'p*nuu,ʔʘnũ,hoan,head
d*,d*ho,!ʰo,hoan,horn
l*,l*a&e,ǁa̰e,hoan,meat
d*,d*K'o&,!qˀõ,hoan,nose
p*,p*u&,ʘ̃ũ,hoan,one
l*h~,l*h~o&a,ǁʰo̰a,hoan,stone
p*,p*Hui,ʘxui,hoan,tail
I,fIrC,firð,icelandic,a distance
cy,cyou_C,þjóð,icelandic,a nation
h~k,prEh~ka,brekka,icelandic,a slope
e#,e#kn,ögn,icelandic,a tiny particle
i#,u^lvi#r,úlfur,icelandic,a wolf
h~w,h~we#nn,hvönn,icelandic,angelica (plant)
e#i#,he#i#st,haust,icelandic,autumn/fall
kh~,paCkh~a_r,baðkar,icelandic,bathtub
ou,pyou_r,bjór,icelandic,beaver
py,pyatla,bjalla,icelandic,bell
i#,fi#kl,fugl,icelandic,bird
i#,pi#rCi#r,burður,icelandic,birth
ss,plussa,blússa,icelandic,blouse
U,tIrUC,dirfð,icelandic,boldness
ll,po#lla,bolla,icelandic,bun (round bread)
tt,pEttI,beddi,icelandic,camp bed
pp,flI^ppI^,flibbi,icelandic,collar of a shirt
e#i#,cre#i#qk,þröng,icelandic,crowd
e#_,e#^rle#_G,örlög,icelandic,destiny
c,cvE^rmauul,þvermál,icelandic,diameter
i#,hi#nti#r,hundur,icelandic,dog
ll,to#llarI,dollari,icelandic,dollar
tn,tutn,dúnn,icelandic,down feathers
h~k,trI^h~ki#r,drykkur,icelandic,drink/beverage
C,parC,barð,icelandic,edge
kk,Ekk,egg,icelandic,egg
C,fyACi#r,fjöður,icelandic,feather
h~r,h~re#i#ql,hröngl,icelandic,fragmented ice
a#_,tra#_yGi#r,draugur,icelandic,ghost
ky,kye#e#v,gjöf,icelandic,gift
ky,kyI^Cya,gyðja,icelandic,goddess
pp,kru^ppa,grúbba,icelandic,group
h~r,h~ro#ss,hross,icelandic,horse
C,maCi#r,maður,icelandic,human
c,cE^hkyiqk,þekking,icelandic,knowledge
h~r,h~re#i#i#n,hraun,icelandic,lava
e#i#,e#^i#Cna,auðna,icelandic,luck
C,aCfErC,aðferð,icelandic,method
C,uuC,úð,icelandic,mind
eii,cveiiyItl,þvegill,icelandic,mop
fy,fyatl,fjall,icelandic,mountain
h~r,h~rei_Ci#r,hreiður,icelandic,nest
C,a_Catl,aðall,icelandic,nobility
ei_,ei_Ci#r,eiður,icelandic,oath
fy,fye#_l,fjöl,icelandic,plank/board
h~k,te#h~k,dökk,icelandic,pool
cy,cye#_l,þjöl,icelandic,rasp
h~w,h~wilt,hvíld,icelandic,rest
c,ca_k,þak,icelandic,roof
h~r,h~ruuCi#r,hrúður,icelandic,scab
a_i,fra_^iCI,fræði,icelandic,sciences
c,cEkn,þegn,icelandic,servant
G,pIGC,byggð,icelandic,settlement
C,huC,húð,icelandic,skin
C,ECya,eðja,icelandic,sludge
h~r,h~ri_C,hríð,icelandic,snowstorm
tt,pro#tti#r,broddur,icelandic,spike
e#_,tve#_l,dvöl,icelandic,stay (noun)
ei_,ei_mi#r,eimur,icelandic,steam/vapor
e#,pI^Cste#C,biðstöð,icelandic,stop (e.g. bus stop)
G,praGC,bragð,icelandic,taste
C,ci_Ca,þíða,icelandic,thaw
h~l,u^h~lpa,úlpa,icelandic,thick winter coat
ei_,pei_Ca,beiða,icelandic,to ask
nn,prEnna,brenna,icelandic,to burn
h~r,ci#^h~rka,þurrka,icelandic,to dry
nn,cInna,þynna,icelandic,to thin
c,ci^iCiqk,þýðing,icelandic,translation
kh~,kh~vo#lv,hvolf,icelandic,vault
ai,plaiya,blæja,icelandic,veil
G,tIGC,dyggð,icelandic,virtue
e#_,E^ltste#_C,eldstöð,icelandic,volcano
UI,e#_^i#Ca_iUI,auðæfi,icelandic,weatlh
tt,preitt,breidd,icelandic,width
e#_i#,ke#_i#C,gauð,icelandic,wimp
tn,pistn,býsn,icelandic,wonder/marvel
i#,o#rmi#r,ormur,icelandic,worm
GOOD,isaGuK,ᐃᓴᕈᖅ,inuktitut,a wing
GOOD,u_mayuK,ᐆᒪᔪᖅ,inuktitut,animal
GOOD,tiGiganiaK,ᑎᕆᒐᓂᐊᖅ,inuktitut,arctic fox
GOOD,ukpik,ᐅᒃᐱᒃ,inuktitut,arctic owl
GOOD,aluiKKanaK,ᐊᓗᐃᖅᑲᓇᖅ,inuktitut,avalanche
GOOD,igliK,ᐃᒡᓕᖅ,inuktitut,bed
GOOD,KilalugaK,ᕿᓚᓗᒐᖅ,inuktitut,beluga whale
GOOD,aKpik,ᐊᖅᐱᒃ,inuktitut,cloudberry
GOOD,Kimmik,ᕿᒻᒥᒃ,inuktitut,dog
GOOD,tikiK,ᑎᑭᖅ,inuktitut,finger
GOOD,iKaluk,ᐃᖃᓗᒃ,inuktitut,fish (salmon/trout)
GOOD,taktuk,ᑕᒃᑐᒃ,inuktitut,fog
GOOD,niKi,ᓂᕿ,inuktitut,food
GOOD,aggak,ᐊᒡᒐᒃ,inuktitut,hand
GOOD,saku,ᓴᑯ,inuktitut,head of harpoon
GOOD,kiqaK,ᑭᖓᖅ,inuktitut,hill
GOOD,iglu,ᐃᒡᓗ,inuktitut,house
GOOD,ka_ktuK,ᑳᒃᑐᖅ,inuktitut,hungry
GOOD,tu_ga_K,ᑑᒑᖅ,inuktitut,ivory tusk
GOOD,KayaK,ᖃᔭᖅ,inuktitut,kayak
GOOD,tasiK,ᑕᓯᖅ,inuktitut,lake
GOOD,nuna,ᓄᓇ,inuktitut,land
GOOD,KiktuGiaK,ᕿᒃᑐᕆᐊᖅ,inuktitut,mosquito
GOOD,KaKkaK,ᖃᖅᑲᖅ,inuktitut,mountain
GOOD,tu_ga_lik,ᑑᒑᓕᒃ,inuktitut,narwhal
GOOD,savik,ᓴᕕᒃ,inuktitut,normal shaped knife
K,KiqaK,ᕿᖓᖅ,inuktitut,nose
GOOD,uKsuK,ᐅᖅᓱᖅ,inuktitut,oil/blubber
GOOD,nunatsiavut,ᓄᓇᑦᓯᐊᕗᑦ,inuktitut,our beautiful land
GOOD,amiK,ᐊᒥᖅ,inuktitut,pelt
GOOD,auyuittuK,ᐊᐅᔪᐃᑦᑐᖅ,inuktitut,permafrost
GOOD,inuk,ᐃᓄᒃ,inuktitut,person
GOOD,nanuK,ᓇᓄᖅ,inuktitut,polar bear
GOOD,ku_k,ᑰᒃ,inuktitut,river
GOOD,tuvaK,ᑐᕙᖅ,inuktitut,sea ice
GOOD,Kamuti_k,ᖃᒧᑏᒃ,inuktitut,sled
GOOD,iGniK,ᐃᕐᓂᖅ,inuktitut,son
GOOD,a_sivaK,ᐋᓯᕙᖅ,inuktitut,spider
GOOD,alu_t,ᐊᓘᑦ,inuktitut,spoon
GOOD,upiGnKa_K,ᐅᐱᕐᓐᖄᖅ,inuktitut,spring (season)
GOOD,ulluGiaK,ᐅᓪᓗᕆᐊᖅ,inuktitut,star
GOOD,siKiniK,ᓯᕿᓂᖅ,inuktitut,sun
GOOD,kiaktisimayuK,ᑭᐊᒃᑎᓯᒪᔪᖅ,inuktitut,sweat
GOOD,kakini_t,ᑲᑭᓃᑦ,inuktitut,tattoo
GOOD,Kuyannami_k,ᖁᔭᓐᓇᒦᒃ,inuktitut,thank you
GOOD,imiKtuK,ᐃᒥᖅᑐᖅ,inuktitut,to drink
GOOD,niGiyuK,ᓂᕆᔪᖅ,inuktitut,to eat
GOOD,aqunasuktuK,ᐊᖑᓇᓱᒃᑐᖅ,inuktitut,to hunt
GOOD,nuKKaGit,ᓄᖅᑲᕆᑦ,inuktitut,to stop
GOOD,KauyimanituKaqit,ᖃᐅᔨᒪᓂᑐᖃᖏᑦ,inuktitut,traditional knowledge
GOOD,alliK,ᐊᓪᓕᖅ,inuktitut,underneath
GOOD,aiviK,ᐁᕕᖃ,inuktitut,walrus
GOOD,imaK,ᐃᒪᖅ,inuktitut,water
GOOD,sila,ᓯᓚ,inuktitut,weather
GOOD,KausiKtuK,ᖃᐅᓯᖅᑐᖅ,inuktitut,wet
GOOD,nuliaK,ᓄᓕᐊᖅ,inuktitut,wife
GOOD,ukiuK,ᐅᑭᐅᖅ,inuktitut,winter
GOOD,amaGuK,ᐊᒪᕈᖅ,inuktitut,wolf
GOOD,aGnaK,ᐊᕐᓇᖅ,inuktitut,woman
GOOD,uKausiK,ᐅᖃᐅᓯᖅ,inuktitut,word
GOOD,ivvit,ᐃᕝᕕᑦ,inuktitut,you
fG~,fG~Il,fuil,irish (munster),blood
vy~,knG~a_vG~,cnámh,irish (munster),bone
vG~,ly~a^nG~UvG~,leanbh,irish (munster),child
mG~,mG~a^drG~U,madra,irish (munster),dog
sG~,iUsG~k,iasc,irish (munster),fish
tG~,tG~o#rG~U,toradh,irish (munster),fruit
fy~,fy~e_rG~,féar,irish (munster),grass
lG~,lG~a_vG~,lámh,irish (munster),hand
dG~,dG~I^ny~U,duine,irish (munster),human
fy~,fy~arG~,fear,irish (munster),man (male)
mG~,mG~a_hUry~,máthair,irish (munster),mother
bG~,bG~a^tG~U,bata,irish (munster),stick
rG~,krG~aunG~,crann,irish (munster),tree
mm,maremma,maremma,italian,a marshy coastal plain
tt,akkurate^ttsa,accuratezza,italian,accuracy
kk,attxa^kko,acciacco,italian,ache
kk,akka^do,accado,italian,akkadian
rr,marro^ne,marrone,italian,brown
kk,akko^ntxo,acconcio,italian,dressed up
ss,ettxE^sso,eccesso,italian,excess
ss,fissa^to,fissato,italian,fixed (position)
ss,masso^ne,massone,italian,free mason
dd,addio,addio,italian,goodbye
mm,gommo^zo,gommoso,italian,gummy
ll,modEllo,modello,italian,model
ll,kolla^na,collana,italian,necklace
dd,para^ddjo,paraggi,italian,neighborhood
ll,novEllo,novello,italian,new
vv,riavvio,riavvio,italian,restart
ll,ka^llido,callido,italian,shrewd
kk,pakkya^no,pacchiano,italian,tacky
mm,amme^ttere,amméttere,italian,to admit
